gamecode_full,gamecode_num,date,group,round,home_team_code,away_team_code,home_score,away_score,season_code
E2025_225,225,2026-01-20T00:00:00+00:00,Regular Season,RS,PAN,BAS,93,74,E2025
E2025_226,226,2026-01-20T00:00:00+00:00,Regular Season,RS,MUN,PAR,63,67,E2025
E2025_227,227,2026-01-20T00:00:00+00:00,Regular Season,RS,MAD,MIL,106,77,E2025
E2025_228,228,2026-01-20T00:00:00+00:00,Regular Season,RS,PAM,PRS,98,84,E2025
E2025_229,229,2026-01-20T00:00:00+00:00,Regular Season,RS,ASV,ZAL,77,96,E2025
E2025_230,230,2026-01-21T00:00:00+00:00,Regular Season,RS,VIR,ULK,80,85,E2025
E2025_231,231,2026-01-22T00:00:00+00:00,Regular Season,RS,IST,OLY,68,74,E2025
E2025_232,232,2026-01-22T00:00:00+00:00,Regular Season,RS,MUN,PAM,93,89,E2025
E2025_233,233,2026-01-22T00:00:00+00:00,Regular Season,RS,TEL,PAN,75,71,E2025
E2025_234,234,2026-01-22T00:00:00+00:00,Regular Season,RS,PRS,DUB,79,99,E2025
E2025_235,235,2026-01-22T00:00:00+00:00,Regular Season,RS,MAD,MCO,90,78,E2025
E2025_236,236,2026-01-22T00:00:00+00:00,Regular Season,RS,MIL,ZAL,82,86,E2025
E2025_237,237,2026-01-23T00:00:00+00:00,Regular Season,RS,ULK,BAS,84,71,E2025
E2025_238,238,2026-01-23T00:00:00+00:00,Regular Season,RS,ASV,BAR,91,98,E2025
E2025_239,239,2026-01-23T00:00:00+00:00,Regular Season,RS,PAR,HTA,104,101,E2025
E2025_240,240,2026-01-23T00:00:00+00:00,Regular Season,RS,VIR,RED,93,102,E2025
E2025_241,241,2026-01-27T00:00:00+00:00,Regular Season,RS,PRS,MAD,98,92,E2025
E2025_242,242,2026-01-29T00:00:00+00:00,Regular Season,RS,ULK,IST,79,62,E2025
E2025_243,243,2026-01-29T00:00:00+00:00,Regular Season,RS,HTA,MUN,64,79,E2025
E2025_244,244,2026-01-29T00:00:00+00:00,Regular Season,RS,OLY,BAR,87,75,E2025
E2025_245,245,2026-01-29T00:00:00+00:00,Regular Season,RS,PAM,TEL,94,83,E2025
E2025_246,246,2026-01-29T00:00:00+00:00,Regular Season,RS,MIL,PAR,85,79,E2025
E2025_247,247,2026-01-30T00:00:00+00:00,Regular Season,RS,MCO,VIR,82,84,E2025
E2025_248,248,2026-01-30T00:00:00+00:00,Regular Season,RS,BAS,ZAL,102,91,E2025
E2025_249,249,2026-01-30T00:00:00+00:00,Regular Season,RS,RED,DUB,95,92,E2025
E2025_250,250,2026-01-30T00:00:00+00:00,Regular Season,RS,ASV,PAN,78,79,E2025
E2025_251,251,2026-02-03T00:00:00+00:00,Regular Season,RS,IST,PAM,107,90,E2025
E2025_252,252,2026-02-03T00:00:00+00:00,Regular Season,RS,RED,HTA,87,75,E2025
E2025_253,253,2026-02-03T00:00:00+00:00,Regular Season,RS,DUB,OLY,108,98,E2025
E2025_254,254,2026-02-03T00:00:00+00:00,Regular Season,RS,MIL,BAS,109,89,E2025
E2025_255,255,2026-02-03T00:00:00+00:00,Regular Season,RS,BAR,ULK,78,82,E2025
E2025_256,256,2026-02-03T00:00:00+00:00,Regular Season,RS,MUN,PRS,81,75,E2025
E2025_257,257,2026-02-03T00:00:00+00:00,Regular Season,RS,TEL,PAR,95,93,E2025
